"product_reference";"source_name";"source_category";"source_type";"source_row_count";"odoo_id";"odoo_name";"odoo_category";"odoo_type";"odoo_active";"decision";"notes"
"2434AGNV";"PB VT BMW SERIE 5 E39              96-03";"Pare-brise";"product";"4";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2434AKCSB";"AGRAFES  PB BMW SERIE 5 E39      96-03";"Joint";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2434ASMS";"JC PB BMW SERIE 5 E39             96-03";"Joint";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2436ACCGNV";"PB ATH-VT  BMW E46 4P     98-05";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2436AGNGNMV6T";"PB VTVT  CAPT P/LUM E46 4P     01-05";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2436AGNGNV";"PB VTVT BMW SERIE 3 E46 4P         98-05";"Pare-brise";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2436AGNMV1B";"PARE-BRISE TEINTÉ VERT CAPTEUR DE PLUIE PLUIE BMW SÉRIE 3 4 PORTES COFFRE 98-01MO 2.60";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2436AGNV";"PB VT BMW SERIE 3 E46 BNE/BK 98-05";"Pare-brise";"product";"10";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2436ASMS";"JC PB BMW SERIE 3 E46 BNE/BK 98-05";"Joint";"product";"15";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2436LGNS4FD";"DESC AVG VT BMW SIE 3E46 4P        98-05";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2436RGNS4FD";"DESC AVD VT BMW SIE 3E46 4P        98-05";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2437ACCGNMV1B";"PB REFL.DEGR+CAPT.SIE3 E46 CPE 98-05";"Pare-brise";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2437ACCGNMV6T";"PARE-BRISE ATHERMIQUE TEINTÉ VERT SÉRIE 3 COUPÉ ET CABRIOLET CAPTEUR DE PLUIE 01-06MO 2.80";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2437AGNGNMV1B";"PARE-BRISE TEINTÉ VERT DÉGRADÉ VERT SÉRIE 3 COUPÉ ET CABRIOLET CAPTEUR DE PLUIE 99-01MO 2.70";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2437AGNMV";"PB VT BMW SIE 3 CPE/CAB CAPT 99-01";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2437AGNMV6T";"PB VT BMW SIE 3 CPE/CAB+CAPT. 01-06";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2437ASMC";"JC PB BMW SERIE 3 E46 CPE/CABR 99-06";"Joint";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2437BGNCABGQW";"LUN VT BMW E46 COUPE ANT  STOP   98-07";"Lunette";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2437BSMC";"JT LUN BMW SERIE 3 E46 CPE/CABR   99-06";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2437RGNC2FD";"DESC AVD VT BWM SIE 3E46 CPE/CAB 99-06";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2439ACCGNMV1T";"PB ATH VT BMW X5 E53+CAPT 02-06";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2439ACCGNV";"PB ATHER VT BMW X5 E53             99-06";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2439ASMRT";"JC SUP PB BMW X5 E53 99-06";"Joint";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2439BYPRAW";"LUN PRIVACY BMW X5 E53           99-06";"Lunette";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2439LGSR5RD";"DESC ARG VT BMW X5             99-66";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2440AGSV";"PB VT BMW MINI BNE/CABRIO.         01-07";"Pare-brise";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2440AKCHB1F";"AGRAFES INF.PB MINI BNE/CABRIO 01-";"Joint";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2440AKCHS1F";"AGRAFES LAT PB MINI BNE/CABRIO 01-";"Joint";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2440AKMH1G";"JCS PB KIT COMPLET MINI BNE/CABRIO  01-";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2440ASMHL";"JC GAUCHE PB MINI BNE/CABRIO   01-";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2440ASMHR";"JC DROIT PB MINI BNE/CABRIO   01-";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2440ASMHT1H";"JC SUP PB BMW MINI BNE/CABRIO   01-";"Joint";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2440RGSH3FD";"DESC AVD VT BMW MINI BNE/CABR   00-07";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2442AGSV";"PB VT BMW SERIE 3E46 COMPACT   01-04";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2442ASMH";"JC PB BMW E46 COMPACT            01-04";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2442LGSH3RQOZ";"CUSTODE ARRIÈRE GAUCHE OUVRANT(E) TEINTÉ VERT SÉRIE 3E46 COMPACT 01-04";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2445AGSGNMV6T";"PB VTVT SIE 5 E60+CAPTEUR ROND 07-10";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2445AGSMV";"PB VT BMW SERIE 5 E60  CAPT   03-07";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2445AGSMV6T";"PB VT SERIE 5E60 CAPTEUR  ROND 07-10";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2445AKCSS";"AGRAFES KIT PB SERIE 5 E60/61  04-10";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2445ASMST";"JC SUP PB BMW SERIE 5 E60          03-10";"Pare-brise";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2446ACCGNMOV1B";"PB ATH.VT BMW SIE 6 CPE/CAB.+DDPL 04-10";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2446AGNMV1B";"PB VT BMW SIE 6 CPE/CABR.+DDPL 04-10";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2446AGSMV1B";"PB VT BMW SIE 6 CPE/CABR CAPT 04-10";"Pare-brise";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2446ASMC";"JC PB BMW SERIE 6 CPE/CABR     04-11";"Joint";"product";"4";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2446BGSCABZ";"LUN VT BMW SERIE 6 COUPE          03-10";"Lunette";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447ACCGNMV1B";"PB REFL VT SIE 3E90 BNE/E91 BK CAP 05-12";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447AGNMV1B";"PB VT BMW SERIE E90 BNE/BK+CAPT  05-12";"Pare-brise";"product";"13";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447AGNV";"PB VT BMW SERIE 3 E90 BNE/E91BK 05-12";"Pare-brise";"product";"5";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447AKCSS";"AGR PB BMW SERIE 3 E90/91          05-12";"Joint";"product";"4";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447AKMS1F";"JCS SUP   INF  PB BMW SIE 3 E90/91 05-12";"Joint";"product";"4";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447ASMSB";"JC INF.PB BMW SIE3 E90             05-12";"Joint";"product";"14";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447ASMST";"JC SUP PB BMW SIE3 E90             05-12";"Joint";"product";"13";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447BGDSABJW";"LUN VT FONCEE SIE 3E90 BNE  ANT  05-12";"Lunette";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447BSMS";"JCS LUN.BMW SIE3 E90 BNE 05-12";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447LGNE5RD";"DESC ARG VT BMW SERIE 3E90 BK 04-12";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447LGNS4RD";"DESC ARG VT BMW SERIE 3E90 BNE 04-12";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2447RGNS4FD";"DESC AVD VT BMW SERIE 3E90 BNE 04-12";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448AGNGNMV1B";"PB VTVT SIE 1E87 BNE/CAB CAP 04-11";"Pare-brise";"product";"4";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448AGNGYV";"PB VTGY BMW SERIE 1 E87 BNE/CAB 04-11";"Pare-brise";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448AGNMV1B";"PB VT BMW SIE 1E87 BNE/CAB+CAP.04-11";"Pare-brise";"product";"24";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448AGNV";"PB VT BMW SERIE 1 E87 BNE/CAB 04-11";"Pare-brise";"product";"5";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448ASDHB";"JC FINITION MOUSSE SERIE 1 E87 04-11";"Joint";"product";"11";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448ASMH";"JC PB BMW SERIE 1 + CAB 04-11";"Joint";"product";"32";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448ASMHB";"JC INF.PB BMW SERIE 1/ X1 + CAB 04-11";"Joint";"product";"23";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448BGDCAZ";"LUN VT FONCEE SERIE 1 COUPE   04-11";"Lunette";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448BGNCAZ";"LUN VT BMW SERIE 1 COUPE         04-11";"Lunette";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448BGNHABJ2F";"LUN VT SERIE 1 HAYON  ANT TV 04-11";"Lunette";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448LGNH3FD";"DESC AVG VT SERIE 1E81 2/3PTES    04-11";"Glace laterale";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448LGNH5FD";"DESC AVG VT SERIE 1E87 5PTES    04-11";"Glace laterale";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448LGNH5RD";"DESC ARG VT SERIE 1E87 5PTES    04-11";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448LGNH5RV";"DEFL.ARG VT SERIE 1E87 5PTES    04-11";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448RGDH5RV";"DEFL ARD VT FONCEE SIE 1E87 5P 04-11";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448RGNH3FD";"DESC AVD VT SERIE 1E81 2/3PTES  04-11";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448RGNH5FD";"DESC AVD VT SERIE 1E87 5PTES    04-11";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2448RGNH5RV";"DEFL.ARD VT SERIE 1E87 5PTES 04-11";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449AGSGNMVW1B";"PB VTVT BMW X3 + CAPT.PLUIE 04-10";"Pare-brise";"product";"9";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449agsgnvw";"2449agsgnvw";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449AGSMVW1B";"PB VT BMW X3 E83 + CAPT.           04-10";"Pare-brise";"product";"6";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449AGSVW";"PB VT BMW X3 E83                   04-10";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449AKCRS1F";"AGR. PB BMW X3 04-10";"Joint";"product";"10";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449ASMRT";"JC SUP PB BMW X3 04-10";"Joint";"product";"9";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449BGSRAGI";"LUN.VT BMW X3        04-10";"Lunette";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449LGSR5FD";"DESC AVG VT BMW X 3            05-10";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449RGPR5RD";"DESC ARD VT PRIV BMW X3  03-10";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449RGSR5RD";"DESC ARD VT BMW X3  03-10";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2449RGSR5RQAZ";"CUSTODE ARRIÈRE DROIT TEINTÉ VERT BMW X3  ANTENNE INTÉGRÉE 03-10MO 1.50";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2452AGSMV1B";"PB VT BMW X5 E70 +CAPT            06-09";"Pare-brise";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2452AKCRS";"AGR.PB BMW X5 E70                06-13";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2452ASMRT";"JC SUP PB BMW X5                  07-13";"Joint";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2452BGSRAW";"LUN VT BMW X5 E70 ANT            06-13";"Lunette";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2454AGSGYMV1B";"PB VTGY BMW SIE3 COUPE E92+CAPT 06-13";"Pare-brise";"product";"12";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2454AGSGYV";"PB VTGY BMW SIE3 COUPE E92  06-13";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2454ASMC";"JC PB BMW SIE 3E92 COUPE    07-13";"Joint";"product";"14";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2454ASMCB";"JC INF.PB BMW SIE 3E93 CPE/CABRIO  07-13";"Joint";"product";"11";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2454BGSCB";"LUN VT BMW SERIE 3 E92 CPE   06-13";"Lunette";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2454BSMC";"JC LUN BMW SIE 3E92 COUPE    07-13";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2454LGSC2FDW";"DESC AVG VT SIE 3 E92 COUPE 06-13";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2454RGSC2FDW";"DESC AVD VT SIE 3 E92 COUPE 06-13";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2455AGSV";"PB VT BMW MINI BNE/CABRIO        07-12";"Pare-brise";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2455ASMHT";"JC SUP PB MINI BNE/CAB/CLUBMAN 07-14";"Joint";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2455RGSH3FD";"DESC AVD VT BMW MINI BNE/CABR 06-14";"Glace laterale";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2456AGSCMUV2T";"PB VT BMW X6 E71 HUD CAPT CAM 08-14";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
