product_reference;product_name;source_type;target_category;target_subcategory;product_type;stockable;eurocode_format_valide;supplier;purchase_price;cost_price;public_price;other_code;internal_eurocode;eurocode_divergent;source_row_count;source_places;import_status;notes
1P0845051ACNBV;LUNETTE AR SEAT LEON;LUNETTES;Lunette;;product;true;true;Concess FR;219,91;483,8;219,91;;1P0845051ACNBV;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
1S0827505E9B9;SERRURE VW UP;AUTRES;Autres;;product;true;true;Concess FR;35,3;77,66;35,3;;1S0827505E9B9;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
1S0827566A3FZ;COMMANDE VW UP;AUTRES;Autres;;product;true;true;Concess FR;55,28;121,62;55,28;;1S0827566A3FZ;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
1S0845051BCNVB;LUN VOLKSWAGEN UP! (12) PHASE 2;LUNETTES;Lunette;;product;true;true;AUTOS GM;341;341;341;;1S0845051BCNVB;false;1;GENIPA;import;Rapprochement Odoo par default_code a effectuer.
1Z0941701;FEU ANTIBROUILLARD AVG SKODA OCTAVIA;ANTIBROUILLARD;Autres;Optique;product;true;true;AUTODIS;95,03;95,03;135,76;;;false;1;GALLERIA;import;Rapprochement Odoo par default_code a effectuer.
1Z0941702;FEU ANTIBROUILLARD AVD SKODA OCTAVIA;ANTIBROUILLARD;Autres;Optique;product;true;true;AUTODIS;95,03;95,03;135,76;;;false;1;GALLERIA;import;Rapprochement Odoo par default_code a effectuer.
2034AGN;PB VT ALFA 156                     97-05;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;86,97;191,33;108,71;;2034AGN;false;1;R318;import;Rapprochement Odoo par default_code a effectuer.
2034AGNP1B;PB VT ALFA 156 CAPT          97-05;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;98,36;216,39;122,95;;2034AGNP1B;false;1;R135;import;Rapprochement Odoo par default_code a effectuer.
2034ASMS;JC PB ALFA 156                     97-05;JOINTS;Joint;;product;true;true;VSF Centre;11,16;24,55;13,95;;2034ASMS;false;2;R318 | J004;import;Doublon source consolide : controler quantites, prix et emplacements.
2037AGS;PB VT ALFA ROMEO 147 3/5P            00-;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;78,18;171,99;97,72;;2037AGS;false;2;R231 | R222;import;Doublon source consolide : controler quantites, prix et emplacements.
2037ASMH;JC PB ALFA ROMEO 147           00-04;JOINTS;Joint;;product;true;true;VSF Centre;12,61;27,74;15,76;;2037ASMH;false;2;Caisse | J3D;import;Doublon source consolide : controler quantites, prix et emplacements.
2038AGS;PB VT ALFA GT                      03-10;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;125,12;275,26;156,4;;2038AGS;false;3;R310 | Centre | GALLERIA;import;Doublon source consolide : controler quantites, prix et emplacements.
2038ASMC;JC PB ALFA ROMEO GT                03-10;JOINTS;Joint;;product;true;true;VSF Ouest;15,68;34,5;19,6;;2038ASMC;false;3;R310 | Centre | GALLERIA;import;Doublon source consolide : controler quantites, prix et emplacements.
2039AGSM1B;PB VT ALFA 159 CAPT                05-11;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;111,2;244,64;139;;2039AGSM1B;false;1;R335;import;Rapprochement Odoo par default_code a effectuer.
2039ASMS;JC PB ALFA 159                     05-11;JOINTS;Joint;;product;true;true;VSF Centre;15,14;33,3;18,92;;2039ASMS;false;1;R335;import;Rapprochement Odoo par default_code a effectuer.
2042LGSH3FD;DESC AVG ALFA MITO 3P    08-;GLACES LATERALES;Glace laterale;;product;true;true;VSF Sud-Ouest;40,58;89,28;50,73;;2042LGSH3FD;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2045BGNHA;LUN.VT ALFA GIULIETTA             10-;LUNETTES;Lunette;;product;true;true;VSF Centre;79,2;174,24;99;;2045BGNHA;false;2;Centre | R905;import;Doublon source consolide : controler quantites, prix et emplacements.
2050RGSR5RD;DESC ARD VT ALFA ROMEO TONALE 22-;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;47,2;103,84;59;;;false;1;GALLERIA;import;Rapprochement Odoo par default_code a effectuer.
2234520;PB VT CAPT FORD ECOSPORT;PARE BRISE;Pare-brise;;product;true;true;Concess FR;259;569,8;323,75;;2234520;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2251BCLR;LUN CL MG ZS  17-;LUNETTES;Lunette;;product;true;true;VSF Centre;111,46;245,2;139,32;;;false;2;CASSE | R930;import;Doublon source consolide : controler quantites, prix et emplacements.
2251RCLR5RDW;GLACE DESCENDANTE ARRIÈRE GAUCHE CLAIR MG ZS 17-;GLACES LATERALES;Glace laterale;;product;true;true;LANES AUTO;109,08;109,08;109,08;;2251RCLR5RDW;false;1;GALLERIA;import;Rapprochement Odoo par default_code a effectuer.
2253RGAR5FDKW;DESC AVD VT ACO FEUIL MG MARVEL R  21-;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;111,2;244,64;139;;2253RGAR5FDKW;false;1;R914;import;Rapprochement Odoo par default_code a effectuer.
2301AGACMUVZ;PB VT AC SERIE 4 G26 4P CAP CAM HUD 21-;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;266,98;587,35;333,72;;2301AGACMUVZ;false;2;R635 | R638;import;Doublon source consolide : controler quantites, prix et emplacements.
2303AGACMUVZ1L;PB VT AC BMW X1 U11 CAPT 2 CAM HUD 22-;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;217,96;479,51;286,79;;;false;1;R430;import;Rapprochement Odoo par default_code a effectuer.
2425ACL;PB CL BMW SERIE 3 E30              83-90;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;124,24;273,33;155,3;;2425ACL;false;1;R736;import;Rapprochement Odoo par default_code a effectuer.
2425AGNBL;PB VTBL BMW SERIE 3 E30            83-90;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;66,04;145,29;82,55;;2425AGNBL;false;2;R501 | R605;import;Doublon source consolide : controler quantites, prix et emplacements.
2425AKRS;JT CLE PB KIT COMP  BMW SIE 3 E30 83-90;JOINTS;Joint;;product;true;true;VSF Centre;85,75;188,65;107,19;;2425AKRS;false;1;Dépôt 2;import;Rapprochement Odoo par default_code a effectuer.
2425ASCC;KIT CLE CHROMEE PARE-BRISE BMW SERIE 3E21 E30;JOINTS;Joint;;product;true;true;AAAM;165,48;165,48;165,48;;2425ASCC;false;1;GALLERIA;import;Rapprochement Odoo par default_code a effectuer.
2425ASRS;JT PB BMW SERIE 3 E30 A ENJ        83-90;JOINTS;Joint;;product;true;true;VSF Centre;34,23;75,31;42,79;;2425ASRS;false;3;Centre | J10B | J11B;import;Doublon source consolide : controler quantites, prix et emplacements.
2427RGNS4RD;GLACE DESCENDANTE ARRIÈRE DROIT TEINTÉ VERT SERIE 7 E32 COURT 87-94MO 0,75;GLACES LATERALES;Glace laterale;;product;true;true;;44,8;98,56;56;;2427RGNS4RD;false;1;T001;import;Rapprochement Odoo par default_code a effectuer.
2431AGNV;PB VT BMW SIE 3 E36 4P+COMPACT 91-96;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;71,9;158,19;89,88;;2431AGNV;false;3;R315 | R702 | R406;import;Doublon source consolide : controler quantites, prix et emplacements.
2431ASMST;JC SUP.PB BMW SERIE 3 E36 BNE 91-96;JOINTS;Joint;;product;true;true;VSF Centre;4,51;9,93;5,64;;2431ASMST;false;2;R315 | J4A;import;Doublon source consolide : controler quantites, prix et emplacements.
2432AGNBLV;PB VTBL BMW SIE 3 E36 CPE/CABR     92-98;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;93,4;205,48;116,75;;2432AGNBLV;false;1;Dépôt 1;import;Rapprochement Odoo par default_code a effectuer.
2432ASMC;JC PB BMW SERIE 3 E36 CPE/CABR  91-99;JOINTS;Joint;;product;true;true;VSF Centre;12,76;28,07;12,76;;2432ASMC;false;1;Dépôt 1;import;Rapprochement Odoo par default_code a effectuer.
2433AGNGNHV;PARE-BRISE TEINTÉ VERT DÉGRADÉ VERT BMW SERIE 7 E38 CHAUFFANT 95-00MO 3.00;PARE BRISE;Pare-brise;;product;true;true;INVENTAIRE;231,29;508,84;231,29;;2433AGNGNHV;false;1;R216;import;Rapprochement Odoo par default_code a effectuer.
2434AGNGNPV1B;PARE-BRISE TEINTÉ VERT DÉGRADÉ VERT CAPTEUR DE PLUIE PLUIE SERIE 5 01-03MO 2,80;PARE BRISE;Pare-brise;;product;true;true;INVENTAIRE;144,52;317,94;144,52;;2434AGNGNPV1B;false;1;R102;import;Rapprochement Odoo par default_code a effectuer.
2434AGNGNV;PARE-BRISE TEINTÉ VERT DÉGRADÉ VERT BMW SERIE 5 E39 96-03MO 2.60;PARE BRISE;Pare-brise;;product;true;true;INVENTAIRE;132,94;292,47;132,94;;2434AGNGNV;false;2;R320 | R313;import;Doublon source consolide : controler quantites, prix et emplacements.
2434AGNV;PB VT BMW SERIE 5 E39              96-03;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;96,47;212,24;120,59;;2434AGNV;false;4;R429 | Centre | R332 | R235;import;Doublon source consolide : controler quantites, prix et emplacements.
2434AKCSB;AGRAFES  PB BMW SERIE 5 E39      96-03;JOINTS;Joint;;product;true;true;VSF Centre;2,04;4,49;2,55;;2434AKCSB;false;2;Centre;import;Doublon source consolide : controler quantites, prix et emplacements.
2434ASMS;JC PB BMW SERIE 5 E39             96-03;JOINTS;Joint;;product;true;true;VSF Centre;14,3;31,47;17,88;;2434ASMS;false;3;R429 | Centre | J6B;import;Doublon source consolide : controler quantites, prix et emplacements.
2436ACCGNV;PB ATH-VT  BMW E46 4P     98-05;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;197,71;434,97;247,14;;2436ACCGNV;false;1;R334;import;Rapprochement Odoo par default_code a effectuer.
2436AGNGNMV6T;PB VTVT  CAPT P/LUM E46 4P     01-05;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;115,6;254,32;144,5;;;false;1;R430;import;Rapprochement Odoo par default_code a effectuer.
2436AGNGNV;PB VTVT BMW SERIE 3 E46 4P         98-05;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;96,64;212,61;120,8;;2436AGNGNV;false;2;R612 | R708;import;Doublon source consolide : controler quantites, prix et emplacements.
2436AGNMV1B;PARE-BRISE TEINTÉ VERT CAPTEUR DE PLUIE PLUIE BMW SÉRIE 3 4 PORTES COFFRE 98-01MO 2.60;PARE BRISE;Pare-brise;;product;true;true;INVENTAIRE;133,8;294,36;133,8;51318257930;2436AGNMV1B;false;1;R323;import;Rapprochement Odoo par default_code a effectuer.
2436AGNV;PB VT BMW SERIE 3 E46 BNE/BK 98-05;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;82,1;180,62;102,63;;2436AGNV;true;10;R322 | R405 | R433 | R808 | R133 | R736 | R217 | R705 | R634;import;Doublon source consolide : controler quantites, prix et emplacements. EUROCODE INTERNE diverge de EUROCODE : arbitrage RPBM requis sur la reference qui fait foi.
2436ASMS;JC PB BMW SERIE 3 E46 BNE/BK 98-05;JOINTS;Joint;;product;true;true;VSF Centre;10,5;23,1;13,13;;2436ASMS;true;15;R322 | R334 | R405 | JT019 | R133 | R612 | Carton | J10B | R130 | JT023 | J5F | J6B | J9F | J11F;import;Doublon source consolide : controler quantites, prix et emplacements. EUROCODE INTERNE diverge de EUROCODE : arbitrage RPBM requis sur la reference qui fait foi.
2436LGNS4FD;DESC AVG VT BMW SIE 3E46 4P        98-05;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;32,41;71,3;40,51;;2436LGNS4FD;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2436RGNS4FD;DESC AVD VT BMW SIE 3E46 4P        98-05;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;39,4;86,68;49,25;;2436RGNS4FD;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2437ACCGNMV1B;PB REFL.DEGR+CAPT.SIE3 E46 CPE 98-05;PARE BRISE;Pare-brise;;product;true;true;A+ Glass;239;239;239;;2437ACCGNMV1B;false;2;R123 | R711;import;Doublon source consolide : controler quantites, prix et emplacements.
2437ACCGNMV6T;PARE-BRISE ATHERMIQUE TEINTÉ VERT SÉRIE 3 COUPÉ ET CABRIOLET CAPTEUR DE PLUIE 01-06MO 2.80;PARE BRISE;Pare-brise;;product;true;true;INVENTAIRE;226,01;497,22;226,01;;2437ACCGNMV6T;false;1;R107;import;Rapprochement Odoo par default_code a effectuer.
2437AGNGNMV1B;PARE-BRISE TEINTÉ VERT DÉGRADÉ VERT SÉRIE 3 COUPÉ ET CABRIOLET CAPTEUR DE PLUIE 99-01MO 2.70;PARE BRISE;Pare-brise;;product;true;true;INVENTAIRE;149,33;328,53;149,33;;2437AGNGNMV1B;false;1;R123;import;Rapprochement Odoo par default_code a effectuer.
2437AGNMV;PB VT BMW SIE 3 CPE/CAB CAPT 99-01;PARE BRISE;Pare-brise;;product;true;true;VSF Sud-Ouest;107,3;236,07;134,13;;2437AGNMV;false;1;R311;import;Rapprochement Odoo par default_code a effectuer.
2437AGNMV6T;PB VT BMW SIE 3 CPE/CAB+CAPT. 01-06;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;103,65;228,03;129,56;;2437AGNMV6T;false;1;R123;import;Rapprochement Odoo par default_code a effectuer.
2437ASMC;JC PB BMW SERIE 3 E46 CPE/CABR 99-06;JOINTS;Joint;;product;true;true;VSF Centre;11,14;24,52;13,93;;2437ASMC;false;3;J010 | R311 | J9B;import;Doublon source consolide : controler quantites, prix et emplacements.
2437BGNCABGQW;LUN VT BMW E46 COUPE ANT  STOP   98-07;LUNETTES;Lunette;;product;true;true;VSF Centre;126,08;277,38;157,6;;2437BGNCABGQW;false;1;R902;import;Rapprochement Odoo par default_code a effectuer.
2437BSMC;JT LUN BMW SERIE 3 E46 CPE/CABR   99-06;JOINTS;Joint;;product;true;true;VSF Centre;15,24;33,53;19,05;;2437BSMC;false;1;J9D;import;Rapprochement Odoo par default_code a effectuer.
2437RGNC2FD;DESC AVD VT BWM SIE 3E46 CPE/CAB 99-06;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;58,29;128,23;72,86;;;false;1;R837;import;Rapprochement Odoo par default_code a effectuer.
2439ACCGNMV1T;PB ATH VT BMW X5 E53+CAPT 02-06;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;208;457,6;260;;2439ACCGNMV1T;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2439ACCGNV;PB ATHER VT BMW X5 E53             99-06;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;192,58;423,67;240,72;;;false;1;R628;import;Rapprochement Odoo par default_code a effectuer.
2439ASMRT;JC SUP PB BMW X5 E53 99-06;JOINTS;Joint;;product;true;true;VSF Centre;9,6;21,12;12;;2439ASMRT;false;2;Centre | J9E;import;Doublon source consolide : controler quantites, prix et emplacements.
2439BYPRAW;LUN PRIVACY BMW X5 E53           99-06;LUNETTES;Lunette;;product;true;true;VSF Centre;167,3;368,07;209,13;;2439BYPRAW;false;3;Centre | R206 | R923;import;Doublon source consolide : controler quantites, prix et emplacements.
2439LGSR5RD;DESC ARG VT BMW X5             99-66;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;37,83;83,23;47,29;;2439LGSR5RD;false;1;D2;import;Rapprochement Odoo par default_code a effectuer.
2440AGSV;PB VT BMW MINI BNE/CABRIO.         01-07;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;60;132;75;;2440AGSV;false;3;R121 | Centre | R325;import;Doublon source consolide : controler quantites, prix et emplacements.
2440AKCHB1F;AGRAFES INF.PB MINI BNE/CABRIO 01-;JOINTS;Joint;;product;true;true;VSF Centre;4,75;10,45;5,94;;2440AKCHB1F;false;3;R121 | Centre;import;Doublon source consolide : controler quantites, prix et emplacements.
2440AKCHS1F;AGRAFES LAT PB MINI BNE/CABRIO 01-;JOINTS;Joint;;product;true;true;VSF Centre;5,22;11,48;6,52;;2440AKCHS1F;false;2;JDESSUS | JT007;import;Doublon source consolide : controler quantites, prix et emplacements.
2440AKMH1G;JCS PB KIT COMPLET MINI BNE/CABRIO  01-;JOINTS;Joint;;product;true;true;VSF Centre;89,38;196,64;111,73;;2440AKMH1G;false;1;Dépôt 2;import;Rapprochement Odoo par default_code a effectuer.
2440ASMHL;JC GAUCHE PB MINI BNE/CABRIO   01-;JOINTS;Joint;;product;true;true;VSF Centre;21,6;47,52;27;;2440ASMHL;false;1;JT007;import;Rapprochement Odoo par default_code a effectuer.
2440ASMHR;JC DROIT PB MINI BNE/CABRIO   01-;JOINTS;Joint;;product;true;true;VSF Centre;24;52,8;30;;2440ASMHR;false;1;JT007;import;Rapprochement Odoo par default_code a effectuer.
2440ASMHT1H;JC SUP PB BMW MINI BNE/CABRIO   01-;JOINTS;Joint;;product;true;true;VSF Centre;3,6;7,92;4,5;;2440ASMHT1H;false;2;R121 | JT007;import;Doublon source consolide : controler quantites, prix et emplacements.
2440RGSH3FD;DESC AVD VT BMW MINI BNE/CABR   00-07;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;24,85;54,67;31,06;;2440RGSH3FD;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2442AGSV;PB VT BMW SERIE 3E46 COMPACT   01-04;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;77,52;170,54;96,9;;2442AGSV;false;1;R315;import;Rapprochement Odoo par default_code a effectuer.
2442ASMH;JC PB BMW E46 COMPACT            01-04;JOINTS;Joint;;product;true;true;VSF Centre;15,12;33,26;18,9;2242ASMH;2442ASMH;false;1;R315;import;Rapprochement Odoo par default_code a effectuer.
2442LGSH3RQOZ;CUSTODE ARRIÈRE GAUCHE OUVRANT(E) TEINTÉ VERT SÉRIE 3E46 COMPACT 01-04;PARE BRISE;Pare-brise;;product;true;true;AAAM;221,9;221,9;221,9;;2442LGSH3RQOZ;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2445AGSGNMV6T;PB VTVT SIE 5 E60+CAPTEUR ROND 07-10;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;119,2;262,24;149;;2445AGSGNMV6T;false;1;R328;import;Rapprochement Odoo par default_code a effectuer.
2445AGSMV;PB VT BMW SERIE 5 E60  CAPT   03-07;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;134,06;294,92;167,57;;;false;1;R403;import;Rapprochement Odoo par default_code a effectuer.
2445AGSMV6T;PB VT SERIE 5E60 CAPTEUR  ROND 07-10;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;117,69;258,91;147,11;;2445AGSMV6T;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2445AKCSS;AGRAFES KIT PB SERIE 5 E60/61  04-10;JOINTS;Joint;;product;true;true;VSF Centre;3,16;6,95;3,16;;2445AKCSS;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2445ASMST;JC SUP PB BMW SERIE 5 E60          03-10;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;9,06;19,92;11,32;;2445ASMST;false;2;Centre | J10E;import;Doublon source consolide : controler quantites, prix et emplacements.
2446ACCGNMOV1B;PB ATH.VT BMW SIE 6 CPE/CAB.+DDPL 04-10;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;183,2;403,04;229;;2446ACCGNMOV1B;false;1;R310;import;Rapprochement Odoo par default_code a effectuer.
2446AGNMV1B;PB VT BMW SIE 6 CPE/CABR.+DDPL 04-10;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;180;396;225;;2446AGNMV1B;false;1;R431;import;Rapprochement Odoo par default_code a effectuer.
2446AGSMV1B;PB VT BMW SIE 6 CPE/CABR CAPT 04-10;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;202,38;445,24;252,98;;2446AGSMV1B;false;2;R626 | R729;import;Doublon source consolide : controler quantites, prix et emplacements.
2446ASMC;JC PB BMW SERIE 6 CPE/CABR     04-11;JOINTS;Joint;;product;true;true;VSF Centre;23,2;51,04;29;;2446ASMC;false;4;R431 | R310 | J4B | GENIPA;import;Doublon source consolide : controler quantites, prix et emplacements.
2446BGSCABZ;LUN VT BMW SERIE 6 COUPE          03-10;LUNETTES;Lunette;;product;true;true;VSF Centre;208,94;459,66;261,17;;;false;1;R424;import;Rapprochement Odoo par default_code a effectuer.
2447ACCGNMV1B;PB REFL VT SIE 3E90 BNE/E91 BK CAP 05-12;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;173,06;380,74;216,33;;2447ACCGNMV1B;false;1;R427;import;Rapprochement Odoo par default_code a effectuer.
2447AGNMV1B;PB VT BMW SERIE E90 BNE/BK+CAPT  05-12;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;98,4;216,48;123;;2447AGNMV1B;false;13;R306 | R324 | R622 | R210 | R318 | R428 | R630 | R637 | R627 | R636 | R609 | R304;import;Doublon source consolide : controler quantites, prix et emplacements.
2447AGNV;PB VT BMW SERIE 3 E90 BNE/E91BK 05-12;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;76;167,2;95;;2447AGNV;false;5;R306 | R330 | R314 | R428 | R524;import;Doublon source consolide : controler quantites, prix et emplacements.
2447AKCSS;AGR PB BMW SERIE 3 E90/91          05-12;JOINTS;Joint;;product;true;true;VSF Centre;7,38;16,23;9,22;;2447AKCSS;false;4;Centre | -;import;Doublon source consolide : controler quantites, prix et emplacements.
2447AKMS1F;JCS SUP   INF  PB BMW SIE 3 E90/91 05-12;JOINTS;Joint;;product;true;true;VSF Centre;13,51;29,73;16,89;;2447AKMS1F;false;4;J010 | J9C | JT001;import;Doublon source consolide : controler quantites, prix et emplacements.
2447ASMSB;JC INF.PB BMW SIE3 E90             05-12;JOINTS;Joint;;product;true;true;VSF Centre;4,64;10,21;5,8;;2447ASMSB;false;14;J002 | R330 | R314 | R135 | R428 | R324 | R622 | R210 | R318 | JT005 | J9G | J9C | J10B;import;Doublon source consolide : controler quantites, prix et emplacements.
2447ASMST;JC SUP PB BMW SIE3 E90             05-12;JOINTS;Joint;;product;true;true;VSF Centre;7,6;16,72;9,5;;2447ASMST;false;13;J002 | R330 | R314 | R135 | R428 | R324 | R622 | R210 | R318 | JT005 | J10E;import;Doublon source consolide : controler quantites, prix et emplacements.
2447BGDSABJW;LUN VT FONCEE SIE 3E90 BNE  ANT  05-12;LUNETTES;Lunette;;product;true;true;VSF Centre;156;343,2;195;;2447BGDSABJW;false;1;GENIPA;import;Rapprochement Odoo par default_code a effectuer.
2447BSMS;JCS LUN.BMW SIE3 E90 BNE 05-12;JOINTS;Joint;;product;true;true;PANTHER PRO;56;123,2;70;;2447BSMS;false;1;J4B;import;Rapprochement Odoo par default_code a effectuer.
2447LGNE5RD;DESC ARG VT BMW SERIE 3E90 BK 04-12;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;39,98;87,96;49,98;;2447LGNE5RD;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2447LGNS4RD;DESC ARG VT BMW SERIE 3E90 BNE 04-12;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;37,83;83,23;47,29;;2447LGNS4RD;false;1;Galléria;import;Rapprochement Odoo par default_code a effectuer.
2447RGNS4FD;DESC AVD VT BMW SERIE 3E90 BNE 04-12;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;37,27;82;46,59;;2447RGNS4FD;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
2448AGNGNMV1B;PB VTVT SIE 1E87 BNE/CAB CAP 04-11;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;84,05;184,91;105,06;;2448AGNGNMV1B;false;4;CASSE | R709 | R636 | R515;import;Doublon source consolide : controler quantites, prix et emplacements.
2448AGNGYV;PB VTGY BMW SERIE 1 E87 BNE/CAB 04-11;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;80,78;177,72;100,98;;2448AGNGYV;false;3;R232 | R429 | R735;import;Doublon source consolide : controler quantites, prix et emplacements.
2448AGNMV1B;PB VT BMW SIE 1E87 BNE/CAB+CAP.04-11;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;99,56;219,03;131;;2448AGNMV1B;false;24;R225 | R112 | CASSE | R215 | R310 | R735 | R618 | R503 | R328 | R620 | R609 | R604 | R606 | R736 | GALLERIA | R126 | R636 | R623;import;Doublon source consolide : controler quantites, prix et emplacements.
2448AGNV;PB VT BMW SERIE 1 E87 BNE/CAB 04-11;PARE BRISE;Pare-brise;;product;true;true;VSF Centre;72;158,4;90;;2448AGNV;false;5;R317 | R311 | R511 | R231 | R636;import;Doublon source consolide : controler quantites, prix et emplacements.
2448ASDHB;JC FINITION MOUSSE SERIE 1 E87 04-11;JOINTS;Joint;;product;true;true;VSF Centre;14,98;32,95;18,72;;2448ASDHB;false;11;GENIPA | J10D | GALLERIA | J6B | JT001 | J10C | J108 | J10A;import;Doublon source consolide : controler quantites, prix et emplacements.
