source_frs;row_count;unique_eurocode_count;odoo_partner_action;notes
BCAM;1;1;rapprocher un res.partner existant, sinon creer;Creer product.supplierinfo (prix = PRIX ACHAT) pour chaque produit rattache.
Occcasion;1;1;rapprocher un res.partner existant, sinon creer;Creer product.supplierinfo (prix = PRIX ACHAT) pour chaque produit rattache.
LANES;1;1;rapprocher un res.partner existant, sinon creer;Creer product.supplierinfo (prix = PRIX ACHAT) pour chaque produit rattache.
DPA;1;1;rapprocher un res.partner existant, sinon creer;Creer product.supplierinfo (prix = PRIX ACHAT) pour chaque produit rattache.
AUTODOC;1;1;rapprocher un res.partner existant, sinon creer;Creer product.supplierinfo (prix = PRIX ACHAT) pour chaque produit rattache.
MISTER AUTO;1;1;rapprocher un res.partner existant, sinon creer;Creer product.supplierinfo (prix = PRIX ACHAT) pour chaque produit rattache.
BLUE AUTOS;1;1;rapprocher un res.partner existant, sinon creer;Creer product.supplierinfo (prix = PRIX ACHAT) pour chaque produit rattache.
Centre auto;1;1;rapprocher un res.partner existant, sinon creer;Creer product.supplierinfo (prix = PRIX ACHAT) pour chaque produit rattache.
Caraib 4*4;1;1;rapprocher un res.partner existant, sinon creer;Creer product.supplierinfo (prix = PRIX ACHAT) pour chaque produit rattache.
APM;1;1;rapprocher un res.partner existant, sinon creer;Creer product.supplierinfo (prix = PRIX ACHAT) pour chaque produit rattache.
