source_place;warehouse;location_parent;location_name;location_complete_name;mapping_status;source_row_count;notes
J11a;Depot 2;Depot 2/Stock;J11A;Depot 2/Stock/J11A;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J1A;Depot 2;Depot 2/Stock;J1A;Depot 2/Stock/J1A;mapped;10;Source observee sur 10 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J1B;Depot 2;Depot 2/Stock;J1B;Depot 2/Stock/J1B;mapped;13;Source observee sur 13 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J1C;Depot 2;Depot 2/Stock;J1C;Depot 2/Stock/J1C;mapped;11;Source observee sur 11 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J1D;Depot 2;Depot 2/Stock;J1D;Depot 2/Stock/J1D;mapped;7;Source observee sur 7 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J1E;Depot 2;Depot 2/Stock;J1E;Depot 2/Stock/J1E;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J1F;Depot 2;Depot 2/Stock;J1F;Depot 2/Stock/J1F;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J1G;Depot 2;Depot 2/Stock;J1G;Depot 2/Stock/J1G;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J2A;Depot 2;Depot 2/Stock;J2A;Depot 2/Stock/J2A;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J2B;Depot 2;Depot 2/Stock;J2B;Depot 2/Stock/J2B;mapped;10;Source observee sur 10 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J2C;Depot 2;Depot 2/Stock;J2C;Depot 2/Stock/J2C;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J2D;Depot 2;Depot 2/Stock;J2D;Depot 2/Stock/J2D;mapped;6;Source observee sur 6 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J2E;Depot 2;Depot 2/Stock;J2E;Depot 2/Stock/J2E;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J2F;Depot 2;Depot 2/Stock;J2F;Depot 2/Stock/J2F;mapped;6;Source observee sur 6 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J2G;Depot 2;Depot 2/Stock;J2G;Depot 2/Stock/J2G;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J307;Depot 2;Depot 2/Stock;J307;Depot 2/Stock/J307;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J3A;Depot 2;Depot 2/Stock;J3A;Depot 2/Stock/J3A;mapped;6;Source observee sur 6 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J3B;Depot 2;Depot 2/Stock;J3B;Depot 2/Stock/J3B;mapped;12;Source observee sur 12 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J3C;Depot 2;Depot 2/Stock;J3C;Depot 2/Stock/J3C;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J3D;Depot 2;Depot 2/Stock;J3D;Depot 2/Stock/J3D;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J3E;Depot 2;Depot 2/Stock;J3E;Depot 2/Stock/J3E;mapped;8;Source observee sur 8 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J3F;Depot 2;Depot 2/Stock;J3F;Depot 2/Stock/J3F;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J3G;Depot 2;Depot 2/Stock;J3G;Depot 2/Stock/J3G;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J4A;Depot 2;Depot 2/Stock;J4A;Depot 2/Stock/J4A;mapped;13;Source observee sur 13 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J4B;Depot 2;Depot 2/Stock;J4B;Depot 2/Stock/J4B;mapped;17;Source observee sur 17 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J4C;Depot 2;Depot 2/Stock;J4C;Depot 2/Stock/J4C;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J4D;Depot 2;Depot 2/Stock;J4D;Depot 2/Stock/J4D;mapped;17;Source observee sur 17 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J4E;Depot 2;Depot 2/Stock;J4E;Depot 2/Stock/J4E;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J4F;Depot 2;Depot 2/Stock;J4F;Depot 2/Stock/J4F;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J4G;Depot 2;Depot 2/Stock;J4G;Depot 2/Stock/J4G;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J5A;Depot 2;Depot 2/Stock;J5A;Depot 2/Stock/J5A;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J5B;Depot 2;Depot 2/Stock;J5B;Depot 2/Stock/J5B;mapped;18;Source observee sur 18 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J5C;Depot 2;Depot 2/Stock;J5C;Depot 2/Stock/J5C;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J5D;Depot 2;Depot 2/Stock;J5D;Depot 2/Stock/J5D;mapped;14;Source observee sur 14 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J5E;Depot 2;Depot 2/Stock;J5E;Depot 2/Stock/J5E;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J5F;Depot 2;Depot 2/Stock;J5F;Depot 2/Stock/J5F;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J5G;Depot 2;Depot 2/Stock;J5G;Depot 2/Stock/J5G;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J5f;Depot 2;Depot 2/Stock;J5F;Depot 2/Stock/J5F;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J6A;Depot 2;Depot 2/Stock;J6A;Depot 2/Stock/J6A;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J6B;Depot 2;Depot 2/Stock;J6B;Depot 2/Stock/J6B;mapped;31;Source observee sur 31 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J6C;Depot 2;Depot 2/Stock;J6C;Depot 2/Stock/J6C;mapped;6;Source observee sur 6 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J6D;Depot 2;Depot 2/Stock;J6D;Depot 2/Stock/J6D;mapped;10;Source observee sur 10 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J6E;Depot 2;Depot 2/Stock;J6E;Depot 2/Stock/J6E;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J6F;Depot 2;Depot 2/Stock;J6F;Depot 2/Stock/J6F;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J6G;Depot 2;Depot 2/Stock;J6G;Depot 2/Stock/J6G;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J6J;Depot 2;Depot 2/Stock;J6J;Depot 2/Stock/J6J;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J7A;Depot 2;Depot 2/Stock;J7A;Depot 2/Stock/J7A;mapped;6;Source observee sur 6 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J7B;Depot 2;Depot 2/Stock;J7B;Depot 2/Stock/J7B;mapped;9;Source observee sur 9 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J7C;Depot 2;Depot 2/Stock;J7C;Depot 2/Stock/J7C;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J7D;Depot 2;Depot 2/Stock;J7D;Depot 2/Stock/J7D;mapped;10;Source observee sur 10 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J7E;Depot 2;Depot 2/Stock;J7E;Depot 2/Stock/J7E;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J7F;Depot 2;Depot 2/Stock;J7F;Depot 2/Stock/J7F;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J7G;Depot 2;Depot 2/Stock;J7G;Depot 2/Stock/J7G;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J80;Depot 2;Depot 2/Stock;J80;Depot 2/Stock/J80;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J8A;Depot 2;Depot 2/Stock;J8A;Depot 2/Stock/J8A;mapped;12;Source observee sur 12 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J8B;Depot 2;Depot 2/Stock;J8B;Depot 2/Stock/J8B;mapped;15;Source observee sur 15 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J8C;Depot 2;Depot 2/Stock;J8C;Depot 2/Stock/J8C;mapped;11;Source observee sur 11 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J8D;Depot 2;Depot 2/Stock;J8D;Depot 2/Stock/J8D;mapped;10;Source observee sur 10 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J8E;Depot 2;Depot 2/Stock;J8E;Depot 2/Stock/J8E;mapped;7;Source observee sur 7 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J8F;Depot 2;Depot 2/Stock;J8F;Depot 2/Stock/J8F;mapped;6;Source observee sur 6 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J8G;Depot 2;Depot 2/Stock;J8G;Depot 2/Stock/J8G;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J9A;Depot 2;Depot 2/Stock;J9A;Depot 2/Stock/J9A;mapped;12;Source observee sur 12 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J9B;Depot 2;Depot 2/Stock;J9B;Depot 2/Stock/J9B;mapped;18;Source observee sur 18 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J9C;Depot 2;Depot 2/Stock;J9C;Depot 2/Stock/J9C;mapped;8;Source observee sur 8 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J9D;Depot 2;Depot 2/Stock;J9D;Depot 2/Stock/J9D;mapped;12;Source observee sur 12 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J9E;Depot 2;Depot 2/Stock;J9E;Depot 2/Stock/J9E;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J9F;Depot 2;Depot 2/Stock;J9F;Depot 2/Stock/J9F;mapped;7;Source observee sur 7 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J9G;Depot 2;Depot 2/Stock;J9G;Depot 2/Stock/J9G;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J9b;Depot 2;Depot 2/Stock;J9B;Depot 2/Stock/J9B;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JC10;Depot 2;Depot 2/Stock;JC10;Depot 2/Stock/JC10;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JD5;Depot 2;Depot 2/Stock;JD5;Depot 2/Stock/JD5;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JDESSUS;;;;;to_check;14;Source observee sur 14 ligne(s). Valeur heterogene : rattachement a confirmer.
JDessus;;;;;to_check;1;Source observee sur 1 ligne(s). Valeur heterogene : rattachement a confirmer.
JT001;Depot 2;Depot 2/Stock;JT001;Depot 2/Stock/JT001;mapped;10;Source observee sur 10 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT002;Depot 2;Depot 2/Stock;JT002;Depot 2/Stock/JT002;mapped;16;Source observee sur 16 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT003;Depot 2;Depot 2/Stock;JT003;Depot 2/Stock/JT003;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT004;Depot 2;Depot 2/Stock;JT004;Depot 2/Stock/JT004;mapped;17;Source observee sur 17 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT005;Depot 2;Depot 2/Stock;JT005;Depot 2/Stock/JT005;mapped;12;Source observee sur 12 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT006;Depot 2;Depot 2/Stock;JT006;Depot 2/Stock/JT006;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT007;Depot 2;Depot 2/Stock;JT007;Depot 2/Stock/JT007;mapped;9;Source observee sur 9 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT008;Depot 2;Depot 2/Stock;JT008;Depot 2/Stock/JT008;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT009;Depot 2;Depot 2/Stock;JT009;Depot 2/Stock/JT009;mapped;7;Source observee sur 7 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT010;Depot 2;Depot 2/Stock;JT010;Depot 2/Stock/JT010;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT012;Depot 2;Depot 2/Stock;JT012;Depot 2/Stock/JT012;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT013;Depot 2;Depot 2/Stock;JT013;Depot 2/Stock/JT013;mapped;10;Source observee sur 10 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT014;Depot 2;Depot 2/Stock;JT014;Depot 2/Stock/JT014;mapped;6;Source observee sur 6 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT016;Depot 2;Depot 2/Stock;JT016;Depot 2/Stock/JT016;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT017;Depot 2;Depot 2/Stock;JT017;Depot 2/Stock/JT017;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT018;Depot 2;Depot 2/Stock;JT018;Depot 2/Stock/JT018;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT019;Depot 2;Depot 2/Stock;JT019;Depot 2/Stock/JT019;mapped;18;Source observee sur 18 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT020;Depot 2;Depot 2/Stock;JT020;Depot 2/Stock/JT020;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT021;Depot 2;Depot 2/Stock;JT021;Depot 2/Stock/JT021;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT022;Depot 2;Depot 2/Stock;JT022;Depot 2/Stock/JT022;mapped;8;Source observee sur 8 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT023;Depot 2;Depot 2/Stock;JT023;Depot 2/Stock/JT023;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT024;Depot 2;Depot 2/Stock;JT024;Depot 2/Stock/JT024;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT025;Depot 2;Depot 2/Stock;JT025;Depot 2/Stock/JT025;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT026;Depot 2;Depot 2/Stock;JT026;Depot 2/Stock/JT026;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT027;Depot 2;Depot 2/Stock;JT027;Depot 2/Stock/JT027;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT029;Depot 2;Depot 2/Stock;JT029;Depot 2/Stock/JT029;mapped;6;Source observee sur 6 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT031;Depot 2;Depot 2/Stock;JT031;Depot 2/Stock/JT031;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
JT032;Depot 2;Depot 2/Stock;JT032;Depot 2/Stock/JT032;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
